Episode,AvgReward
0,133.615
200,130.045
400,143.005
600,137.94
800,132.835
1000,139.655
1200,151.915
1400,128.805
1600,153.425
1800,151.75
2000,157.045
2200,159.17
2400,173.05
2600,158.15
2800,182.335
3000,157.105
3200,145.875
3400,170.61
3600,192.15
3800,164.75
4000,180.81
4200,158.345
4400,156.295
4600,213.19
4800,177.425
5000,199.475
5200,182.485
5400,176.955
5600,166.255
5800,179.975
6000,166.125
6200,175.78
6400,182.52
6600,169.855
6800,169.895
7000,184.365
7200,191.535
7400,176.055
7600,181.84
7800,151.62
8000,170.78
8200,192.28
8400,158.665
8600,178.895
8800,165.695
9000,167.755
9200,174.475
9400,172.645
9600,185.395
9800,170.785
10000,91.51
10200,97.77
10400,93.04
10600,98.9
10800,92.23
11000,102.31
11200,105.485
11400,101.005
11600,105.84
11800,104.04
12000,103.445
12200,115.35
12400,109.965
12600,107.4
12800,108.86
13000,121.93
13200,123.13
13400,124.24
13600,126.21
13800,118.815
14000,126.135
14200,116.275
14400,123.575
14600,123.61
14800,115.645
15000,121.515
15200,122.87
15400,128.415
15600,127.505
15800,133.275
16000,130.315
16200,131.775
16400,126.44
16600,128.61
16800,133.36
17000,138.63
17200,132.58
17400,128.425
17600,137.87
17800,117.225
18000,132.265
18200,138.455
18400,133.545
18600,129.785
18800,133.79
19000,141.97
19200,128.55
19400,136.835
19600,138.035
19800,124.655
20000,64.005
20200,67.73
20400,68.4
20600,72.005
20800,75.13
21000,71.505
21200,75.25
21400,76.86
21600,78.335
21800,82.32
22000,71.105
22200,83.545
22400,77.125
22600,82.175
22800,87.9
23000,83.055
23200,80.745
23400,92.905
23600,83.49
23800,83.23
24000,86.82
24200,89.78
24400,86.87
24600,85.105
24800,88.655
25000,90.245
25200,95.555
25400,89.65
25600,92.24
25800,89.955
26000,94.775
26200,90.96
26400,94.825
26600,93.61
26800,95.61
27000,94.2
27200,101.45
27400,91.005
27600,98.225
27800,100.485
28000,97.705
28200,98.955
28400,98.305
28600,100.24
28800,105.42
29000,98.89
29200,99.93
29400,102.145
29600,99.82
29800,101.315
