Step,Action,Reward,RevealedBoard
1,"(0, 2)",20,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
2,"(2, 2)",1,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, True, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"
3,"(2, 5)",-10,"[[True, True, True, True, False, False], [True, True, True, True, False, False], [False, False, True, False, False, True], [False, False, False, False, False, False], [False, False, False, False, False, False], [False, False, False, False, False, False]]"

Board
0,0,0,1,-1,1
1,1,1,1,2,2
1,-1,2,1,2,-1
1,1,2,-1,2,1
0,0,1,2,2,1
0,0,0,1,-1,1
